"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 30 09:08:32 GMT 2023","Thu Nov 30 09:08:48 GMT 2023","16383","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormAmenitiesCheckboxesIsVisible","Check 'Amenities Checkboxes' visibility of Search Form on Home Page",""
"passed","Thu Nov 30 09:08:32 GMT 2023","Thu Nov 30 09:08:49 GMT 2023","17458","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormLocationDropdownIsVisible","Check 'Location Dropdown' visibility of Search Form on Home Page",""
"passed","Thu Nov 30 09:08:31 GMT 2023","Thu Nov 30 09:08:47 GMT 2023","15639","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormCheckInCalendarIsVisible","Check 'Check In Calendar' visibility of Search Form on Home Page",""
"passed","Thu Nov 30 09:08:32 GMT 2023","Thu Nov 30 09:08:48 GMT 2023","16665","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormTitleIsVisible","Check 'Title Label' visibility of Search Form on Home Page",""
"passed","Thu Nov 30 09:08:32 GMT 2023","Thu Nov 30 09:08:47 GMT 2023","15535","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","checkDefaultValuesForSubtitleLabel","Check 'Subtitle Label' default values of Search Form on Home Page",""
"passed","Thu Nov 30 09:08:32 GMT 2023","Thu Nov 30 09:08:49 GMT 2023","16976","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","checkDefaultValuesForGuestsField","Check 'Guests Field' default values of Search Form on Home Page",""
"passed","Thu Nov 30 09:08:32 GMT 2023","Thu Nov 30 09:09:09 GMT 2023","37494","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","checkDefaultValuesForLocationDropdownLabel","Check 'Location Dropdown' default values of Search Form on Home Page",""
"passed","Thu Nov 30 09:08:32 GMT 2023","Thu Nov 30 09:08:48 GMT 2023","16032","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","checkDefaultValuesForTitleLabel","Check 'Title Label' default values of Search Form on Home Page",""
"passed","Thu Nov 30 09:08:31 GMT 2023","Thu Nov 30 09:08:47 GMT 2023","15462","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","checkDefaultValuesForCheckInDate","Check 'Check In Calendar' default values of Search Form on Home Page",""
"passed","Thu Nov 30 09:08:31 GMT 2023","Thu Nov 30 09:08:45 GMT 2023","13797","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormSearchButtonIsVisible","Check 'Search Button' visibility of Search Form on Home Page",""
"passed","Thu Nov 30 09:08:31 GMT 2023","Thu Nov 30 09:08:45 GMT 2023","13795","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormSubtitleIsVisible","Check 'Subtitle Label' visibility of Search Form on Home Page",""
"passed","Thu Nov 30 09:08:31 GMT 2023","Thu Nov 30 09:08:48 GMT 2023","16726","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","checkDefaultValuesForCheckOutDate","Check 'Check Out Calendar' default values of Search Form on Home Page",""
"passed","Thu Nov 30 09:08:31 GMT 2023","Thu Nov 30 09:08:49 GMT 2023","17719","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormGuestsSelectorIsVisible","Check 'Guests Selector' visibility of Search Form on Home Page",""
"passed","Thu Nov 30 09:08:31 GMT 2023","Thu Nov 30 09:08:49 GMT 2023","17623","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","checkDefaultValuesForFilters","Check 'Amenities' default values of Search Form on Home Page",""
"passed","Thu Nov 30 09:08:31 GMT 2023","Thu Nov 30 09:08:48 GMT 2023","16972","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormCheckOutCalendarIsVisible","Check 'Check Out Calendar' visibility of Search Form on Home Page",""
"passed","Thu Nov 30 09:08:24 GMT 2023","Thu Nov 30 09:08:58 GMT 2023","33955","","org.example.alpinizm.tests.home.searchForm.e2e.SearchPropertiesTest","","org.example.alpinizm.tests.home.searchForm.e2e.SearchPropertiesTest","searchProperties","[1] Barcelona, 2023-11-28, 2023-11-30, 2, false, [Air conditioning], 2",""
